NM_B1_1
      Zeit;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;
         s;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;
   X-Achse;   1.Kanal;   2.Kanal;   3.Kanal;   4.Kanal;   5.Kanal;   6.Kanal;   7.Kanal;   8.Kanal;   9.Kanal;  10.Kanal;  11.Kanal;  12.Kanal;  13.Kanal;  14.Kanal;  15.Kanal;
0.0000;0.0083;0.0061;-0.0121;0.0258;0.0203;-0.0138;0.0195;0.0104;0.0141;0.0019;0.0193;-0.0031;-0.0165;-0.0066;0.0056;
0.0049;0.0101;0.0032;-0.0097;0.0253;0.0192;-0.0186;0.0194;0.0127;0.0149;0.0022;0.0204;0.0026;-0.0155;-0.0065;-0.0015;
0.0098;0.0097;-0.0012;-0.0104;0.0255;0.0173;-0.0124;0.0195;0.0143;0.0115;0.0012;0.0219;-0.0031;-0.0159;-0.0086;0.0086;
0.0146;0.0096;0.0036;-0.0015;0.0249;0.0172;-0.0186;0.0215;0.0083;0.0091;0.0022;0.0205;0.0032;-0.0155;-0.0034;0.0038;
0.0195;0.0111;-0.0026;-0.0102;0.0258;0.0155;-0.0125;0.0204;0.0104;0.0139;0.0023;0.0189;-0.0035;-0.0143;-0.0101;0.0048;
0.0244;0.0110;0.0008;-0.0094;0.0270;0.0166;-0.0153;0.0212;0.0099;0.0160;0.0023;0.0187;-0.0013;-0.0148;-0.0069;-0.0014;
0.0293;0.0112;0.0015;-0.0076;0.0267;0.0145;-0.0152;0.0217;0.0068;0.0133;0.0031;0.0192;-0.0005;-0.0143;-0.0038;0.0023;
0.0342;0.0111;-0.0040;-0.0062;0.0266;0.0123;-0.0119;0.0214;0.0097;0.0105;0.0035;0.0181;-0.0040;-0.0135;-0.0093;0.0100;
0.0391;0.0108;0.0012;-0.0028;0.0269;0.0146;-0.0180;0.0233;0.0068;0.0121;0.0044;0.0183;0.0024;-0.0134;-0.0059;0.0003;
